
"97 12る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 97/12/01"," 4,436.12"," 4,567.76"," 4,418.24"," 4,518.43"
" 97/12/02"," 4,310.50"," 4,356.98"," 4,292.08"," 4,356.98"
" 97/12/03"," 4,346.05"," 4,379.25"," 4,289.13"," 4,307.26"
" 97/12/04"," 4,347.66"," 4,347.66"," 4,209.91"," 4,254.96"
" 97/12/05"," 4,213.07"," 4,261.32"," 4,190.02"," 4,225.07"
" 97/12/08"," 4,278.61"," 4,424.09"," 4,278.61"," 4,418.33"
" 97/12/09"," 4,479.14"," 4,524.38"," 4,456.44"," 4,472.66"
" 97/12/10"," 4,470.73"," 4,658.87"," 4,470.73"," 4,658.87"
" 97/12/11"," 4,665.04"," 4,694.40"," 4,617.17"," 4,655.57"
" 97/12/12"," 4,600.97"," 4,654.75"," 4,401.05"," 4,481.27"
" 97/12/15"," 4,604.50"," 4,676.46"," 4,588.14"," 4,613.72"
" 97/12/16"," 4,570.52"," 4,616.89"," 4,532.41"," 4,616.89"
" 97/12/17"," 4,706.23"," 4,725.06"," 4,628.22"," 4,648.02"
" 97/12/18"," 4,674.36"," 4,694.81"," 4,625.69"," 4,694.81"
" 97/12/19"," 4,661.69"," 4,723.70"," 4,622.49"," 4,694.52"
" 97/12/22"," 4,735.17"," 4,750.96"," 4,535.54"," 4,535.54"
" 97/12/23"," 4,517.05"," 4,523.13"," 4,359.55"," 4,405.86"
" 97/12/24"," 4,330.42"," 4,439.13"," 4,325.46"," 4,423.09"
" 97/12/25"," 4,430.10"," 4,434.43"," 4,385.78"," 4,413.45"
" 97/12/26"," 4,398.53"," 4,466.75"," 4,396.26"," 4,425.08"
" 97/12/29"," 4,429.35"," 4,429.35"," 4,381.49"," 4,416.16"
" 97/12/30"," 4,463.30"," 4,602.21"," 4,463.30"," 4,589.04"
" 97/12/31"," 4,627.98"," 4,627.98"," 4,537.52"," 4,591.22"
""
